database,dataset_size,operation,indexed,no_index,improvement_pct
mongodb,10000,create,0.5879,0.5155,-14.04
mongodb,10000,delete,0.7085,6.8102,89.6
mongodb,10000,read,0.6862,6.3546,89.2
mongodb,10000,update,0.7276,6.9988,89.6
mongodb,50000,create,0.6038,0.5938,-1.68
mongodb,50000,delete,0.7511,30.681,97.55
mongodb,50000,read,0.7149,27.9697,97.44
mongodb,50000,update,0.7468,31.706,97.64
mongodb,100000,create,0.6003,0.5788,-3.71
mongodb,100000,delete,0.7348,58.9151,98.75
mongodb,100000,read,0.6969,57.4862,98.79
mongodb,100000,update,0.7576,62.2321,98.78
mysql,10000,create,2.2998,2.2997,-0.0
mysql,10000,delete,2.3437,18.3323,87.22
mysql,10000,read,0.7031,9.1715,92.33
mysql,10000,update,2.0712,18.5888,88.86
mysql,50000,create,2.0309,2.3343,13.0
mysql,50000,delete,2.1194,85.3589,97.52
mysql,50000,read,0.7212,41.8672,98.28
mysql,50000,update,2.0889,85.1106,97.55
mysql,100000,create,2.2689,2.1496,-5.55
mysql,100000,delete,2.3053,170.3677,98.65
mysql,100000,read,0.817,81.389,99.0
mysql,100000,update,2.1828,173.0424,98.74
