database,dataset_size,indexing,operation,trial_no,execution_time_ms,timestamp
mysql,10000,indexed,create,1,2.7727,2026-05-09T21:03:58
mysql,10000,indexed,create,2,2.4920,2026-05-09T21:03:58
mysql,10000,indexed,create,3,2.3944,2026-05-09T21:03:58
mysql,10000,indexed,create,4,2.3184,2026-05-09T21:03:58
mysql,10000,indexed,create,5,2.1807,2026-05-09T21:03:58
mysql,10000,indexed,create,6,2.1899,2026-05-09T21:03:58
mysql,10000,indexed,create,7,2.2700,2026-05-09T21:03:58
mysql,10000,indexed,create,8,2.2575,2026-05-09T21:03:58
mysql,10000,indexed,create,9,2.0495,2026-05-09T21:03:58
mysql,10000,indexed,create,10,2.0724,2026-05-09T21:03:58
mysql,10000,indexed,read,1,0.7075,2026-05-09T21:03:58
mysql,10000,indexed,read,2,0.6498,2026-05-09T21:03:58
mysql,10000,indexed,read,3,0.7534,2026-05-09T21:03:58
mysql,10000,indexed,read,4,0.7920,2026-05-09T21:03:58
mysql,10000,indexed,read,5,0.7201,2026-05-09T21:03:58
mysql,10000,indexed,read,6,0.6450,2026-05-09T21:03:58
mysql,10000,indexed,read,7,0.6182,2026-05-09T21:03:58
mysql,10000,indexed,read,8,0.8138,2026-05-09T21:03:58
mysql,10000,indexed,read,9,0.7014,2026-05-09T21:03:58
mysql,10000,indexed,read,10,0.6298,2026-05-09T21:03:58
mysql,10000,indexed,update,1,0.7715,2026-05-09T21:03:58
mysql,10000,indexed,update,2,2.3774,2026-05-09T21:03:58
mysql,10000,indexed,update,3,2.5094,2026-05-09T21:03:58
mysql,10000,indexed,update,4,2.1945,2026-05-09T21:03:58
mysql,10000,indexed,update,5,2.2496,2026-05-09T21:03:58
mysql,10000,indexed,update,6,2.1728,2026-05-09T21:03:58
mysql,10000,indexed,update,7,2.1623,2026-05-09T21:03:58
mysql,10000,indexed,update,8,2.2305,2026-05-09T21:03:58
mysql,10000,indexed,update,9,2.0641,2026-05-09T21:03:58
mysql,10000,indexed,update,10,1.9794,2026-05-09T21:03:58
mysql,10000,indexed,delete,1,2.4399,2026-05-09T21:03:58
mysql,10000,indexed,delete,2,2.1878,2026-05-09T21:03:58
mysql,10000,indexed,delete,3,2.1258,2026-05-09T21:03:58
