database,dataset_size,indexing,operation,n_trials,mean_ms,std_ms,min_ms,max_ms
mongodb,10000,indexed,create,10,0.5879,0.0453,0.5552,0.6837
mongodb,10000,indexed,delete,10,0.7085,0.0489,0.6477,0.8032
mongodb,10000,indexed,read,10,0.6862,0.0833,0.5883,0.8775
mongodb,10000,indexed,update,10,0.7276,0.0992,0.6123,0.932
mongodb,10000,no_index,create,10,0.5155,0.0801,0.442,0.6628
mongodb,10000,no_index,delete,10,6.8102,3.4614,1.3504,11.0324
mongodb,10000,no_index,read,10,6.3546,3.303,1.1691,10.4562
mongodb,10000,no_index,update,10,6.9988,3.6652,1.3457,11.3749
mongodb,50000,indexed,create,10,0.6038,0.0374,0.5251,0.6682
mongodb,50000,indexed,delete,10,0.7511,0.0693,0.6641,0.8392
mongodb,50000,indexed,read,10,0.7149,0.0841,0.5942,0.9151
mongodb,50000,indexed,update,10,0.7468,0.0318,0.7218,0.8319
mongodb,50000,no_index,create,10,0.5938,0.1668,0.4668,1.0126
mongodb,50000,no_index,delete,10,30.681,19.5013,3.5969,57.3264
mongodb,50000,no_index,read,10,27.9697,17.6621,3.0365,49.8893
mongodb,50000,no_index,update,10,31.706,19.9562,3.527,55.3463
mongodb,100000,indexed,create,10,0.6003,0.0746,0.534,0.719
mongodb,100000,indexed,delete,10,0.7348,0.0369,0.6831,0.7812
mongodb,100000,indexed,read,10,0.6969,0.0328,0.6494,0.7478
mongodb,100000,indexed,update,10,0.7576,0.0613,0.7035,0.8997
mongodb,100000,no_index,create,10,0.5788,0.0979,0.4757,0.827
mongodb,100000,no_index,delete,10,58.9151,37.8873,6.6718,108.5166
mongodb,100000,no_index,read,10,57.4862,36.0868,5.4872,112.249
mongodb,100000,no_index,update,10,62.2321,41.6143,6.2139,122.9428
mysql,10000,indexed,create,10,2.2998,0.2143,2.0495,2.7727
mysql,10000,indexed,delete,10,2.3437,0.2168,2.0442,2.7966
mysql,10000,indexed,read,10,0.7031,0.0681,0.6182,0.8138
mysql,10000,indexed,update,10,2.0712,0.4801,0.7715,2.5094
mysql,10000,no_index,create,10,2.2997,0.1994,2.0253,2.6442
mysql,10000,no_index,delete,10,18.3323,0.142,18.157,18.6503
mysql,10000,no_index,read,10,9.1715,0.6005,8.4213,10.2923
mysql,10000,no_index,update,10,18.5888,0.5251,17.2884,19.1576
mysql,50000,indexed,create,10,2.0309,0.0896,1.8401,2.1553
mysql,50000,indexed,delete,10,2.1194,0.2237,1.9174,2.6832
mysql,50000,indexed,read,10,0.7212,0.0892,0.604,0.8554
mysql,50000,indexed,update,10,2.0889,0.5512,0.7797,2.967
mysql,50000,no_index,create,10,2.3343,0.291,1.8267,2.7912
mysql,50000,no_index,delete,10,85.3589,4.4791,81.936,94.7178
mysql,50000,no_index,read,10,41.8672,4.7127,38.8157,52.5211
mysql,50000,no_index,update,10,85.1106,3.0187,82.7846,92.5714
mysql,100000,indexed,create,10,2.2689,0.0881,2.1056,2.397
mysql,100000,indexed,delete,10,2.3053,0.1326,2.1285,2.5186
mysql,100000,indexed,read,10,0.817,0.0476,0.7588,0.8892
mysql,100000,indexed,update,10,2.1828,0.503,0.7829,2.5873
mysql,100000,no_index,create,10,2.1496,0.303,1.873,2.9303
mysql,100000,no_index,delete,10,170.3677,8.0784,165.2067,191.6104
mysql,100000,no_index,read,10,81.389,3.8881,77.3974,89.9143
mysql,100000,no_index,update,10,173.0424,4.802,168.5752,181.2398
